,평균기온(℃),최저기온(℃),최고기온(℃)
0,11.569041095890412,7.40465753424658,16.36520547945205
1,10.490136986301374,6.231506849315069,15.464109589041092
2,11.871506849315082,7.655342465753429,16.853972602739738
3,10.854371584699454,6.4961748633879814,15.841530054644814
4,11.60438356164384,7.044931506849316,16.85835616438357
5,11.903561643835609,7.576438356164387,16.970958904109587
6,11.985479452054802,7.636712328767113,17.12082191780822
7,10.332240437158468,5.9046448087431616,15.418579234972688
8,10.59205479452055,6.209589041095891,15.440273972602741
9,11.82739726027396,7.327397260273975,16.984383561643835
10,11.769041095890428,7.5706849315068485,16.52547945205479
11,11.047267759562846,6.802185792349727,15.974590163934433
12,11.224657534246578,7.039452054794522,15.898630136986315
13,10.81260273972603,6.571506849315067,15.516986301369865
14,11.45479452054795,7.243013698630132,16.165205479452062
15,11.562841530054639,7.129781420765023,16.568579234972677
16,12.399452054794521,8.144657534246575,17.25890410958904
17,12.32986301369863,8.473972602739728,16.750684931506846
18,11.808767123287673,7.581369863013702,16.606575342465753
19,11.901366120218587,7.780327868852463,16.621584699453557
20,11.456712328767125,7.270136986301367,16.196712328767138
21,12.974520547945202,8.53315068493151,17.850958904109596
22,11.775890410958896,7.4619178082191855,16.539726027397272
23,11.734426229508205,7.431420765027314,16.68142076502732
24,12.27643835616437,7.863561643835619,17.40273972602739
25,13.173972602739719,9.003287671232876,18.134246575342463
26,12.492054794520552,8.243013698630133,17.44630136986301
27,12.111748633879776,7.980054644808747,16.840983606557373
28,12.192876712328768,8.072328767123292,17.041095890410954
29,12.173972602739738,8.048767123287675,16.918904109589032
30,12.233424657534242,8.233424657534242,16.843287671232883
31,12.64398907103825,8.45655737704918,17.570491803278685
32,11.769589041095887,7.714520547945202,16.611232876712325
33,12.59616438356164,8.67424657534246,17.12712328767124
34,12.766575342465753,8.9772602739726,17.16794520547944
35,12.599453551912577,8.519945355191254,17.204098360655745
36,12.441643835616437,8.353150684931503,17.00493150684929
37,11.924657534246577,8.036164383561644,16.309589041095904
38,11.704109589041085,7.8213698630137065,16.141369863013697
39,11.831420765027325,7.794535519125686,16.42295081967214
40,11.954520547945217,7.961095890410954,16.44273972602741
41,12.80219178082193,8.649589041095888,17.64958904109588
42,13.12904109589041,8.860273972602736,18.02219178082191
43,13.192896174863376,9.000273224043715,18.020765027322394
44,12.487123287671249,8.208767123287675,17.382465753424654
45,12.456712328767125,8.218904109589037,17.345205479452055
46,12.985753424657535,8.555890410958908,18.03205479452056
47,12.675409836065569,8.353278688524593,17.570491803278685
48,13.071506849315089,8.559452054794525,18.154520547945214
